url,title,release_time,agency,naver
http://www.osen.co.kr/article/G1111340932,"&#39;77억의 사랑&#39; 신동엽 &quot;故설리, 행복했던 적 한 번도 없다고..마음 아팠다&quot;[종합]",2020.04.21,OSEN,네이버뉴스
http://www.xportsnews.com/?ac=article_view&entry_id=1260588,&#39;77억의 사랑&#39; 김희철 &quot;故설리·故구하라 사망 후 추모하겠단 악플러들에 충격&quot;,2020.04.21,엑스포츠뉴스,네이버뉴스
http://mksports.co.kr/view/2020/412633/,"이승기, 7분 만에 3골…K리그 해트트릭의 모든 것",2020.04.21,MK스포츠,네이버뉴스
http://ujnews.co.kr/news/newsview.php?ncode=1065539024827114,"설리 &#39;악플의 밤&#39; 출연 당시 전한 말, &#39;77억의 사랑&#39; 김희철·신동엽 언급",2020.04.21,울산종합일보,None
https://www.tvreport.co.kr/2039328,"&#39;77억의 사랑&#39; 김희철 &quot;故설리, &#39;악플의 밤&#39; 너무 행복해했다&quot; 뭉클 [종합]",2020.04.21,TV리포트,네이버뉴스
https://www.news1.kr/articles/?3912808,[RE:TV] &#39;77억의 사랑&#39; 김희철 &quot;악플 대처는 아이유처럼…선처 없어야&quot;,2020.04.21,뉴스1,네이버뉴스
http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202004210307514264&ext=na,대도서관 &quot;수익? 광고만 한달에 5천. 이것보다 더 큰 건…&quot;(&#39;77억의사랑&#39;),2020.04.21,마이데일리,네이버뉴스
https://www.newsen.com/news_view.php?uid=202004202026461610,김희철 “악플 대처? 아이유처럼 선처없어야 근절” 77억의 사랑[어제TV],2020.04.21,뉴스엔,네이버뉴스
https://www.newsen.com/news_view.php?uid=202004202027091610,"신동엽 “故 설리 행복했던 적 한번도 없다고, 안타까워” 77억[결정적장면]",2020.04.21,뉴스엔,네이버뉴스
http://www.kukinews.com/news/article.html?no=778970,‘77억의 사랑’ 김희철 “ 故설리-구하라 향한 악플러들 이중적 태도에 충격”,2020.04.21,쿠키뉴스,None
http://sports.hankooki.com/lpage/entv/202004/sp20200421064121136660.htm,"[출근길TV] &#39;77억의 사랑&#39; 신동엽 &quot;故설리, 행복했던 적 한 번도 없다고...&quot;",2020.04.21,스포츠한국,None
http://www.kukinews.com/news/article.html?no=778970,‘77억의 사랑’ 김희철 “ 故설리-구하라 향한 악플러들 이중적 태도에 충격”,2020.04.21,쿠키뉴스,None
https://www.tvreport.co.kr/2039331,"&#39;77억의 사랑&#39; 대도서관♥윰댕→김희철, 악플러 대처하는 법 [어땠어?]",2020.04.21,TV리포트,네이버뉴스
http://www.xportsnews.com/?ac=article_view&entry_id=1260597,"&#39;77억의 사랑&#39; 신동엽 &quot;故설리, 진짜 행복했던 적 한 번도 없었다고&quot; [전일야화]",2020.04.21,엑스포츠뉴스,네이버뉴스
http://starin.edaily.co.kr/news/newspath.asp?newsid=01111926625738416,"김희철 &quot;故 설리, &#39;악플의 밤&#39; 출연 행복해했다&quot;",2020.04.21,이데일리,네이버뉴스
https://view.asiae.co.kr/article/2020042107003522688,"신동엽 &quot;설리, 행복했던 적이 한 번도 없었다고 해… 마음 아파&quot;",2020.04.21,아시아경제,네이버뉴스
http://sports.chosun.com/news/ntype.htm?id=202004210100157700009901&servicedate=20200421,"신동엽 &quot;故설리, 행복했던 적 단 한 번도 없었다고…&quot;",2020.04.21,스포츠조선,네이버뉴스
https://nc.asiae.co.kr/view.htm?idxno=2020042107371519645,&#39;그렇게 욕하더니 추모?&#39; 김희철이 악플러에 분노한 이유[NC이슈],2020.04.21,뉴스컬처,None
http://www.osen.co.kr/article/G1111340963,&quot;선처NO&quot;..&#39;77억의 사랑&#39; 김희철이 밝힌 #故설리 행복 #아이유 악플 대처법[종합],2020.04.21,OSEN,네이버뉴스
http://sports.khan.co.kr/news/sk_index.html?art_id=202004210808003&sec_id=540201&pt=nv,"신동엽 “고 설리, 살면서 행복한 적 한번도 없다고 말해 마음 아파”",2020.04.21,스포츠경향,네이버뉴스
http://www.wikitree.co.kr/articles/525348,"“사실은…” 김희철, &#39;악플의 밤&#39; 관련해 정말 뜻밖의 말 털어놨다",2020.04.21,위키트리,None
http://mksports.co.kr/view/2020/412868/,김희철 “故설리·구하라 사망 후 추모하겠다던 악플러들에 충격 받아”,2020.04.21,MK스포츠,네이버뉴스
http://isplus.live.joins.com/news/article/article.asp?total_id=23759012,"[리뷰IS] &#39;77억의 사랑&#39; 김희철, 故 설리 구하라 향한 애틋한 마음",2020.04.21,일간스포츠,네이버뉴스
http://www.ajunews.com/view/20200421080740078,역시 화제 첫방 동시 1위 &quot;더킹 영원의 군주&quot;···웨이브 주간순위 1위 등극,2020.04.21,아주경제,None
https://sports.donga.com/article/all/20200421/100738892/1,[TV체크] 김희철 ”설리·구하라 악플러 이중성에 충격”…신동엽 씁쓸,2020.04.21,스포츠동아,네이버뉴스
http://sbsfune.sbs.co.kr/news/news_content.jsp?article_id=E10009886282&plink=ORI&cooper=NAVER,"신동엽 &quot;설리, 행복했던 적이 한 번도 없었다고…마음 아파&quot;",2020.04.21,SBS funE,네이버뉴스
http://star.mt.co.kr/stview.php?no=2020042108361467882,"&#39;77억의 사랑&#39; 김희철, 故 설리·구하라 악플 &quot;성희롱하고 추모..화났다&quot;",2020.04.21,스타뉴스,네이버뉴스
http://www.headlinejeju.co.kr/news/articleView.html?idxno=415277,"[동정] 삼양동장, 불법광고물 정비 철저 당부",2020.04.21,헤드라인제주,None
http://moneys.mt.co.kr/news/mwView.php?no=2020042108538034046,"&#39;77억의 사랑&#39; 김희철, 故 설리·구하라 일 겪고 나서…",2020.04.21,머니S,네이버뉴스
http://www.headlinejeju.co.kr/news/articleView.html?idxno=415276,"[동정] 삼양동장, 제주꿈바당 학습바우처사업 철저 당부",2020.04.21,헤드라인제주,None
http://www.headlinejeju.co.kr/news/articleView.html?idxno=415278,"삼양동, 제주형 재난긴급생활지원금 접수 담당직원 교육 실시",2020.04.21,헤드라인제주,None
http://star.mk.co.kr/new/view.php?mc=ST&year=2020&no=412996,"신동엽 “설리, 행복한 적 한번도 없었다고...”(‘77억의 사랑’)",2020.04.21,매일경제,네이버뉴스
http://sports.chosun.com/news/ntype.htm?id=202004220100158950009997&servicedate=20200421,[SC리뷰]&quot;진짜 행복한적 없었던 故설리&quot;…&#39;77억의사랑&#39; 김희철·신동엽 분노케 한 악플의 늪,2020.04.21,스포츠조선,네이버뉴스
http://biz.heraldcorp.com/view.php?ud=202004210832007696209_1,"[팝업★]&quot;故설리·구하라 떠난 후 추모하겠다고&quot;..김희철, 악플러에 분노한 이유",2020.04.21,헤럴드POP,네이버뉴스
http://www.beyondpost.co.kr/view.php?ud=20200421092127535946a9e4dd7f_30,미스터트롯 출신 가수 이대원 ‘셀러비’ 수익금 기부,2020.04.21,비욘드포스트,None
http://www.slist.kr/news/articleView.html?idxno=150769,"김은숙 효과 톡톡...&#39;더킹&#39;, 주간 웨이브 드라마 VOD 시청량 1위",2020.04.21,싱글리스트,None
