url,title,release_time,agency,naver
http://www.ihalla.com/read.php3?aid=1586271600679785042,삼양동 국회의원선거 공보물 발송작업,2020.04.08,한라일보,None
http://www.headlinejeju.co.kr/news/articleView.html?idxno=414140,"[동정] 삼양동장, 방문고객 대상 탄소포인트제 가입 당부",2020.04.08,헤드라인제주,None
http://www.headlinejeju.co.kr/news/articleView.html?idxno=414141,"[동정] 삼양동장, 전직원 전통시장 이용 당부",2020.04.08,헤드라인제주,None
https://nc.asiae.co.kr/view.htm?idxno=2020040809161494772,"정동극장, &#39;양준모의 오페라 데이트&#39; 개최…&#39;한 칸 띄어 앉기&#39; 운영",2020.04.08,뉴스컬처,None
http://www.newstown.co.kr/news/articleView.html?idxno=451837,뮤지컬 배우 &#39;양준모의 오페라 데이트&#39;,2020.04.08,뉴스타운,None
http://www.newdaily.co.kr/site/data/html/2020/04/08/2020040800046.html,정동극장 브런치 콘서트 오픈…&#39;양준모의 오페라 데이트&#39;,2020.04.08,뉴데일리,None
http://www.sportsworldi.com/content/html/2020/04/08/20200408507864.html,"압도적 라이브 뽐내…박혜원, ‘스튜디오 음악당’서 극찬 받아",2020.04.08,스포츠월드,네이버뉴스
http://sports.chosun.com/news/ntype.htm?id=202004090100064760003757&servicedate=20200408,"&#39;맛남의 광장&#39; 먹방 꿈나무 김희철, 백종원도 인정한 면치기 실력 &#39;일취월장&#39;",2020.04.08,스포츠조선,네이버뉴스
http://www.osen.co.kr/article/G1111335205,"&#39;맛남의 광장&#39; 김희철, 백종원 인정한 면치기 실력 &#39;일취월장&#39; [Oh!쎈 예고]",2020.04.08,OSEN,네이버뉴스
https://sports.donga.com/article/all/20200408/100552268/1,"‘맛남의 광장’ 김희철, 요알못 오명 탈출? 백종원에 레시피 조언",2020.04.08,스포츠동아,네이버뉴스
https://sports.donga.com/article/all/20200408/100552268/1,"‘맛남의 광장’ 김희철, 요알못 오명 탈출? 백종원에 레시피 조언",2020.04.08,스포츠동아,네이버뉴스
http://star.mk.co.kr/new/view.php?mc=ST&year=2020&no=365924,"`맛남의 광장` 김희철, `김찌개` 먹방...백종원도 인정한 면치기 실력",2020.04.08,매일경제,네이버뉴스
https://www.newsen.com/news_view.php?uid=202004081020570410,"‘맛남’ 김희철 ‘요알못’ 탈피, 백종원에게 레시피 조언까지",2020.04.08,뉴스엔,네이버뉴스
https://tenasia.hankyung.com/tv/article/2020040841244,"&#39;맛남의 광장&#39; 김희철, 백종원도 인정한 면치기 &#39;일취월장&#39;",2020.04.08,텐아시아,네이버뉴스
http://www.gukjenews.com/news/articleView.html?idxno=1270087,"태백시, 코로나19 &#39;지역 고용대응 특별지원&#39; 실시",2020.04.08,국제뉴스,None
http://www.gukjenews.com/news/articleView.html?idxno=1270093,"영월군, 유해조수 피해방지단 확대운영",2020.04.08,국제뉴스,None
http://www.xportsnews.com/?ac=article_view&entry_id=1256029,"&#39;맛남의 광장&#39; 김희철, &#39;요알못&#39; 이미지 탈피?…백종원에게 레시피 조언 [포인트:컷]",2020.04.08,엑스포츠뉴스,네이버뉴스
http://sports.khan.co.kr/news/sk_index.html?art_id=202004081037003&sec_id=540201&pt=nv,"‘맛남의 광장’ 김희철 ‘요알못’ 이미지 탈피, 백종원에게 레시피 조언… 입맛 저격 특급 3종 ‘김’ 레시피",2020.04.08,스포츠경향,네이버뉴스
http://www.stardailynews.co.kr/news/articleView.html?idxno=268741,"&#39;맛남의광장&#39;, 전남 해남 찾았다... 물김 레시피 공개 &#39;김 찌개+김전+김부각&#39;",2020.04.08,스타데일리뉴스,None
https://sports.donga.com/article/all/20200408/100553591/1,"‘음악당’ 김희철, 스텔라장 열창에 감탄 “스텔라짱으로 이름 바꿔야”",2020.04.08,스포츠동아,네이버뉴스
