url,title,release_time,agency,naver
http://www.siminilbo.co.kr/news/newsview.php?ncode=1065612286427337,&#39;김희철♥&#39; 트와이스 사나 &quot;이건 언제 나오려나&quot; 들여다보니,2020.04.15,시민일보,None
http://www.sportsseoul.com/news/read/905384?ref=naver,"레트로 열풍 ing…&#39;퀴음사&#39;→&#39;힛트쏭&#39;, 음악예능 다시 기지개[SS방송]",2020.04.15,스포츠서울,네이버뉴스
http://www.gukjenews.com/news/articleView.html?idxno=1273741,"정선군, 주민편의 생활권 밀착 맞춤형 힐링 체육공원 조성",2020.04.15,국제뉴스,None
http://www.gukjenews.com/news/articleView.html?idxno=1273765,"강원관광대학교, 온라인 교육 활성화 포럼",2020.04.15,국제뉴스,None
http://star.mt.co.kr/stview.php?no=2020041511265401319,"&#39;골목식당&#39; 된 &#39;맛남의광장&#39; 백종원, 홍진영·양세형에 분노",2020.04.15,스타뉴스,네이버뉴스
http://www.topstarnews.net/news/articleView.html?idxno=762622,"&#39;아는 형님&#39; 226회 예고, 이달의 소녀 츄-이브-희진 출연…네티즌 &quot;상상도 못했다&quot;",2020.04.15,톱스타뉴스,None
https://www.news1.kr/articles/?3907771,佛 초등교장 음란수업 &#39;맛의 워크숍&#39;…애들 눈가리고 성접촉 영상 촬영,2020.04.15,뉴스1,네이버뉴스
http://www.ggilbo.com/news/articleView.html?idxno=761064,"KBS2 새 예능 이십세기 힛트 쏭, 시청률 2%대로 출발",2020.04.15,금강일보,None
//www.yeongnam.com/web/view.php?key=20200415001525309,"&#39;맛남의 광장&#39;백종원, 홍진영 계속된 실수와 양세형 대형 사고에 &#39;폭발&#39;",2020.04.15,영남일보,None
http://www.ajunews.com/view/20200416035919943,"[총선 당선인] 與 정태호 &quot;정치, 모든 걸 올바르게 만드는 것…좋은 정치인 되겠다&quot;",2020.04.16,아주경제,None
http://www.ajunews.com/view/20200416035919943,"[총선 당선인] 與 정태호 &quot;정치, 모든 걸 올바르게 만드는 것…좋은 정치인 되겠다&quot;",2020.04.16,아주경제,None
http://www.gukjenews.com/news/articleView.html?idxno=1273946,"민주당, 총선 강원에서 3석 차지 약진",2020.04.16,국제뉴스,None
http://www.topstarnews.net/news/articleView.html?idxno=762845,"&#39;아는형님&#39; 송가인, 직접 만든 장신구→김희철 &#39;美친 소화력&#39;…&quot;왜 쓸데없이 예쁜 거야&quot;",2020.04.16,톱스타뉴스,None
http://www.headlinejeju.co.kr/news/articleView.html?idxno=414926,"[동정] 삼양동장, 신속집행 철저 당부",2020.04.16,헤드라인제주,None
http://www.headlinejeju.co.kr/news/articleView.html?idxno=414925,"[동정] 삼양동장, 국회의원 선거 벽보 철거 당부",2020.04.16,헤드라인제주,None
https://www.news2day.co.kr/151221,[김희철의 직업군인이야기(60)]실전 같은 부대 검열 및 훈련평가는 승리의 첩경(상),2020.04.16,뉴스투데이,None
http://www.headlinejeju.co.kr/news/articleView.html?idxno=414928,"삼양동, 투표소 선거권자 대상 발열체크 실시",2020.04.16,헤드라인제주,None
http://www.headlinejeju.co.kr/news/articleView.html?idxno=414927,"삼양동, 투표소 설치 작업 실시",2020.04.16,헤드라인제주,None
http://biz.heraldcorp.com/view.php?ud=202004160932260253889_1,"[투데이TV]&#39;맛남의 광장&#39; 백종원, 남은 김밥 활용 꿀팁 레시피 공개",2020.04.16,헤럴드POP,네이버뉴스
https://www.newsen.com/news_view.php?uid=202004160934192410,"‘맛남의 광장’ 백종원, 남은 김밥 활용 꿀팁 레시피 공개[오늘TV]",2020.04.16,뉴스엔,네이버뉴스
http://sports.chosun.com/news/ntype.htm?id=202004170100123060007627&servicedate=20200416,"&#39;맛남의 광장&#39; 다이어트 동지 홍진영X나은, 멈출 수 없는 식탐 &#39;폭소&#39;",2020.04.16,스포츠조선,네이버뉴스
https://tenasia.hankyung.com/tv/article/2020041633374,"&#39;맛남의 광장&#39; 백종원, 남은 김밥 활용한 &#39;볶음밥&#39; 레시피 공개",2020.04.16,텐아시아,네이버뉴스
http://star.mk.co.kr/new/view.php?mc=ST&year=2020&no=399035,"‘맛남의 광장’ 홍진영X나은, 멈출 수 없는 식탐에 당황 ‘폭소’",2020.04.16,매일경제,네이버뉴스
http://sports.khan.co.kr/news/sk_index.html?art_id=202004161002003&sec_id=540201&pt=nv,“또 해달라”…‘맛남의 광장’ 양세찬이 극찬한 김희철 ‘냉라면’→ 백종원 ‘김밥 볶음밥’ 공개 [채널예약],2020.04.16,스포츠경향,네이버뉴스
https://www.ytn.co.kr/_sn/0117_202004161004165532,"&#39;맛남의 광장&#39; 백종원, 남은 김밥 활용 레시피 공개",2020.04.16,YTN,네이버뉴스
http://www.slist.kr/news/articleView.html?idxno=149755,"&#39;맛남의 광장&#39;, 김희철 냉라면→백종원 김밥볶음밥...스페셜 레시피는?",2020.04.16,싱글리스트,None
http://stoo.asiae.co.kr/article.php?aid=63684457612,"&#39;맛남의 광장&#39; 홍진영X나은, 다이어트 중 식탐 폭발한 사연 [TV스포]",2020.04.16,스포츠투데이,None
https://sports.donga.com/article/all/20200416/100683655/1,‘맛남의 광장’ 남은 김밥 꿀팁 레시피…홍진영X나은 식탐 폭발,2020.04.16,스포츠동아,네이버뉴스
http://www.stardailynews.co.kr/news/articleView.html?idxno=269358,"&#39;맛남의광장&#39; 백종원, 남은 김밥 이용한 레시피 공개... 김밥 볶음밥 &#39;극찬&#39;",2020.04.16,스타데일리뉴스,None
http://tvdaily.asiae.co.kr/read.php3?aid=15870019321536428019,‘맛남의광장’ 백종원표 남은 김밥 ‘꿀팁’ 레시피 [T-데이],2020.04.16,티브이데일리,None
http://www.osen.co.kr/article/G1111338965,"&#39;맛남의광장&#39; 백종원, &#39;남은 김밥&#39;으로 꿀팁 레시피..에이프릴 나은 &#39;감탄&#39;",2020.04.16,OSEN,네이버뉴스
http://www.xportsnews.com/?ac=article_view&entry_id=1259083,"&#39;맛남의 광장&#39; 백종원, 남은 김밥 활용 꿀팁 레시피 공개 &#39;감탄 연발&#39;",2020.04.16,엑스포츠뉴스,네이버뉴스
http://sbsfune.sbs.co.kr/news/news_content.jsp?article_id=E10009882696&plink=ORI&cooper=NAVER,"&#39;맛남의 광장&#39; 백종원, &#39;남은 김밥&#39; 활용 꿀팁 레시피 공개",2020.04.16,SBS funE,네이버뉴스
http://www.hankookilbo.com/news/npath/202004161198049702?did=NA,"‘맛남의 광장’ 백종원, 남은 김밥 활용 꿀팁 레시피 공개…홍진영 식탐 폭발",2020.04.16,한국일보,네이버뉴스
http://www.gukjenews.com/news/articleView.html?idxno=1274144,"원주시, &#39;한 도시 한 책 읽기 운동&#39; 도서에 &#39;맹탐정 고민 상담소&#39; 선정",2020.04.16,국제뉴스,None
http://www.gukjenews.com/news/articleView.html?idxno=1274151,"영월군, 농업용 면세유류 구입비 지원",2020.04.16,국제뉴스,None
http://www.gukjenews.com/news/articleView.html?idxno=1274199,"정선군, 농촌 일손부족 해소 위해 영농봉사은행 운영",2020.04.16,국제뉴스,None
http://www.ccdn.co.kr/news/articleView.html?idxno=642450,"백종원 김밥 볶음밥 레시피 공개... 홍진영, 다이어트 &#39;깜빡&#39; 잊고 식탐 드러내",2020.04.16,충청매일,None
http://www.lecturernews.com/news/articleView.html?idxno=38774,[맛남의 광장] 백종원 표 &#39;김밥 볶음밥&#39; 레시피 공개! 에이프릴 나은 가슴 설레이는 미소 보이며 감탄,2020.04.16,한국강사신문,None
http://www.ggilbo.com/news/articleView.html?idxno=761358,"&#39;맛남의 광장&#39;, 이번엔 어디로? &#39;해남 김&#39; 살리기 시작",2020.04.16,금강일보,None
http://www.wikitree.co.kr/articles/524288,“우주 대스타의 클라쓰...” 김희철 광고 모델한 &#39;휘아&#39; 일 매출 1억원 돌파,2020.04.16,위키트리,None
http://www.newsinside.kr/news/articleView.html?idxno=1072189,"&#39;맛남의 광장&#39; 백종원, &#39;남은 김밥&#39; 활용한 레시피 공개...홍진영-나은 감탄 연발",2020.04.16,뉴스인사이드,None
http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202004162031025&code=960801,2020년 4월 17일 [케이블·위성 하이라이트],2020.04.16,경향신문,네이버뉴스
https://www.sedaily.com/NewsView/1Z1HYYTB6K,&#39;맛남의 광장&#39; 김밥 남으면 이렇게 드셔유···백종원의 꿀팁은?,2020.04.16,서울경제,네이버뉴스
http://mksports.co.kr/view/2020/402431/,"‘이십세기 힛트쏭’ 김민아 “조정현, 비주얼 독보적…故장국영 닮았다”",2020.04.16,MK스포츠,네이버뉴스
https://www.newsen.com/news_view.php?uid=202004162108201710,"‘이십세기’ 김희철 “조정현 노래, SM 연습생은 무조건 외워야”",2020.04.16,뉴스엔,네이버뉴스
http://www.dailygrid.net/news/articleView.html?idxno=362393,"&#39;맛남의 광장&#39; 백종원, 남은 김밥 활용 볶음밥 레시피 공개!",2020.04.16,데일리그리드,None
http://star.mbn.co.kr/view.php?year=2020&no=402432&refer=portal,"‘이십세기 힛-트쏭’ 김희철, 김민아에 “‘아이싱’, 너 보면 나오는 말” 너스레",2020.04.16,MBN,네이버뉴스
http://mksports.co.kr/view/2020/402434/,"김민아 “이승환 ‘세상에 뿌려진 사랑만큼’, 나와 나이 같아”(힛트쏭)",2020.04.16,MK스포츠,네이버뉴스
http://star.mbn.co.kr/view.php?year=2020&no=402441&refer=portal,"김민아, 김희철 ‘쿵쿵따’ 아는 척에 “그게 고급 정보?” (이십세기 힛-트쏭)",2020.04.16,MBN,네이버뉴스
http://stoo.asiae.co.kr/article.php?aid=63704240472,"&#39;이십세기 힛-트쏭&#39; 김민아 &quot;조정현, 너무 멋져…故장국영 닮았다&quot; [TV캡처]",2020.04.16,스포츠투데이,None
http://nbntv.co.kr/news/view/865227,"김민아 &quot;조정현, 독보적인 비주얼&quot;, 김희철 ‘그 아픔까지 사랑한 거야’ 열창",2020.04.16,내외경제tv,None
http://ilyo.co.kr/?ac=article_view&entry_id=367373,"&#39;이십세기 힛트쏭&#39; 인디고 곽승남, 해체 이유 &quot;계약만료, 김대진 연기 원해&quot;",2020.04.16,일요신문,None
http://stoo.asiae.co.kr/article.php?aid=63704673403,"&#39;이십세기 힛트쏭&#39; 김희철X김민아, 코나 노래가사에 &#39;후끈&#39; [TV캡처]",2020.04.16,스포츠투데이,None
https://www.newsen.com/news_view.php?uid=202004162144061710,‘힛트쏭’ 김민아 “그녀를 가지려 담배 끊었냐” 김희철 당황,2020.04.16,뉴스엔,네이버뉴스
http://www.topdaily.kr/news/articleView.html?idxno=66133,"&#39;맛남의 광장&#39; 백종원, 남은 김밥 활용한 레시피 전격 공개",2020.04.16,톱데일리,None
https://www.hankyung.com/entertainment/article/202004165492I,"&#39;이십세기 힛-트쏭&#39; 조정현 노래, SM연습생 필수곡",2020.04.16,한국경제,네이버뉴스
http://mksports.co.kr/view/2020/402481/,"‘맛남의 광장’ 김희철, 칼질에 이어 ‘냉라면’까지 직접 조리 [MK★TV컷]",2020.04.16,MK스포츠,네이버뉴스
http://www.topstarnews.net/news/articleView.html?idxno=763576,"&#39;이십세기 힛트쏭&#39; 김민아-김희철, 유피(UP) &#39;뿌요뿌요&#39; 완벽 재현…&#39;멤버 변화 과정은?&#39;",2020.04.16,톱스타뉴스,None
http://www.theceluv.com/article.php?aid=1587042000317868010,&#39;맛남의 광장&#39; 김희철표 냉라면→남은 김밥 활용한 볶음밥 레시피는?,2020.04.16,더셀럽,None
http://www.kgdm.co.kr/news/articleView.html?idxno=691398,"`이십세기 힛트쏭` 민아X희철, 유피 `뿌요뿌요` 완벽 소환",2020.04.16,경기도민일보,None
http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202004162216705758&ext=na,"&#39;맛남의 광장&#39; 김동준, &#39;김냉쫄면&#39; 실패…백종원·양세형·홍진영 &#39;당황&#39;",2020.04.16,마이데일리,네이버뉴스
http://www.xportsnews.com/?ac=article_view&entry_id=1259312,"&#39;맛남의 광장&#39; 김동준, 김냉쫄면 완성…농벤져스 반응에 &#39;당황&#39;",2020.04.16,엑스포츠뉴스,네이버뉴스
https://www.newsen.com/news_view.php?uid=202004162220501710,‘맛남의’ 김동준 김냉쫄면에 양세형 “먹지마” 단호 ‘폭소’,2020.04.16,뉴스엔,네이버뉴스
http://biz.heraldcorp.com/view.php?ud=202004162213323260037_1,"&#39;맛남의광장&#39; 김동준, 김 효능 &quot;남성의 성기능 강화?!&quot;…양세형에게 알려줬다",2020.04.16,헤럴드POP,네이버뉴스
http://sbsfune.sbs.co.kr/news/news_content.jsp?article_id=E10009883184&plink=ORI&cooper=NAVER,"&#39;맛남의 광장&#39; 5개월차 김희철, &quot;오늘 아침 라면은 내가 끓이겠다&quot;…홀로서기 선언",2020.04.16,SBS funE,네이버뉴스
http://www.osen.co.kr/article/G1111339350,"&#39;맛남의 광장&#39; 김동준표 김냉쫄면vs김희철표 김냉라면, 엇갈린 &#39;희비&#39;",2020.04.16,OSEN,네이버뉴스
http://www.xportsnews.com/?ac=article_view&entry_id=1259316,"&#39;맛남의 광장&#39; 홍진영X나은, 다이어트 공감대 &quot;여기서 너무 먹어&quot;",2020.04.16,엑스포츠뉴스,네이버뉴스
http://www.topstarnews.net/news/articleView.html?idxno=763592,"&#39;맛남의광장&#39; 김동준, 백종원과 해남 답사 후 김냉쫄면 개발하지만 양세형 김희철에게 &quot;먹지 마&quot;…김희철의 김라면에 &#39;감탄사 연발&#39; (1)",2020.04.16,톱스타뉴스,None
