url,title,release_time,agency,naver
http://www.cnews.co.kr/uhtml/read.jsp?idxno=202003311310535130966,&lt;인사&gt; ㈜흥화,2020.04.01,건설경제신문,None
http://biz.heraldcorp.com/view.php?ud=202004010719515600258_1,"&#39;77억의 사랑&#39; 홍석천X김희철X유인나X신동엽, 웃음유발 케미 빛나네",2020.04.01,헤럴드POP,네이버뉴스
http://www.newsway.co.kr/news/view?tp=1&ud=2020040108264580567,"한화큐셀, 獨 ‘생활소비재 어워드’ 태양광 부문 1등",2020.04.01,뉴스웨이,None
http://www.kpinews.co.kr/news/articleView.html?idxno=113751,"한화큐셀, 독일 생활소비재 어워드서 1등 차지",2020.04.01,한국정책신문,None
http://biz.heraldcorp.com/view.php?ud=202004010827265850858_1,"김희철X예성, 영원한 슈퍼주니어 케미..잘생김의 인간화",2020.04.01,헤럴드POP,네이버뉴스
http://www.edaily.co.kr/news/newspath.asp?newsid=01594086625731856,"한화큐셀, 獨생활소비재어워드서 태양광 분야 1위 선정",2020.04.01,이데일리,네이버뉴스
http://www.econovill.com/news/articleView.html?idxno=391600,"한화큐셀, 독일 생활소비재 어워드서 태양광 분야 1등",2020.04.01,이코노믹리뷰,None
http://www.todayenergy.kr/news/articleView.html?idxno=223738,"한화큐셀, 獨 생활소비재어워드서 1등 차지",2020.04.01,투데이에너지,None
http://www.newstomato.com/ReadNews.aspx?no=963310,"한화큐셀, 독일서 태양광 분야 1등 차지",2020.04.01,뉴스토마토,None
http://www.viva100.com/main/view.php?key=20200401010000046,"한화큐셀, 獨 &#39;생활소비재어워드&#39; 태양광 1위 선정",2020.04.01,브릿지경제,None
http://www.viva100.com/main/view.php?key=20200401010000046,"한화큐셀, 獨 &#39;생활소비재어워드&#39; 태양광 1위 선정",2020.04.01,브릿지경제,None
http://www.asiatoday.co.kr/view.php?key=20200401010000084,"한화큐셀, 독일 생활소비재 어워드 태양광 부문 1등",2020.04.01,아시아투데이,None
https://www.news1.kr/articles/?3892616,"한화큐셀, 독일 생활소비재 어워드서 종합 1위 차지",2020.04.01,뉴스1,네이버뉴스
https://www.asiatime.co.kr/news/newsview.php?ncode=1065569684871718,"한화큐셀, ‘독일 소비재 어워드’ 태양광 부문 1위",2020.04.01,아시아타임즈,None
http://www.ebn.co.kr/news/view/1422310/?sc=naver,"한화큐셀, 독일 &#39;생활소비재 어워드 1위&#39; 선정",2020.04.01,EBN,None
https://view.asiae.co.kr/article/2020040109110517018,"한화큐셀, 독일 생활소비재 어워드서 1등",2020.04.01,아시아경제,네이버뉴스
http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202004010550&t=NN,"한화큐셀, 독일 생활소비재 어워드서 &#39;태양광 1위&#39;...&quot;연구개발 결실&quot;",2020.04.01,한국경제TV,네이버뉴스
http://www.greened.kr/news/articleView.html?idxno=244973,"한화큐셀, &#39;독일 생활소비재 어워드&#39; 태양광 분야 1위 수상",2020.04.01,녹색경제신문,None
http://www.metroseoul.co.kr/article/20200401500015,"한화큐셀, 독일 생활소비재 어워드서 &#39;태양광 분야 1위&#39; 쾌거",2020.04.01,메트로신문,None
https://biz.chosun.com/site/data/html_dir/2020/04/01/2020040101256.html?utm_source=naver&utm_medium=original&utm_campaign=biz,"한화큐셀, 독일 &#39;생활소비재 어워드&#39; 태양광 분야 1위",2020.04.01,조선비즈,네이버뉴스
http://www.etoday.co.kr/news/section/newsview.php?idxno=1878121,"한화큐셀, 독일 생활소비재 어워드 태양광 분야 1위",2020.04.01,이투데이,None
http://www.newsis.com/view/?id=NISX20200401_0000978095&cID=13001&pID=13000,"한화큐셀, 獨 생활소비재 어워드서 태양광 1등 차지",2020.04.01,뉴시스,네이버뉴스
http://www.seoulfn.com/news/articleView.html?idxno=377482,"한화큐셀, 독일 생활소비재 어워드 태양광 분야 1위",2020.04.01,서울파이낸스,None
